name,ring,quadrant,isNew,description
GitHub Code Repo,Adopt,Tools,TRUE,<p>Github is mature and scalable source code Platform. On top of standard source control features GitHub includes features that support modern Continuous Development through features like GitHub Actions.</p>
GCP,Adopt,Platforms,TRUE,<p>Google Cloud Platform is used to provide application related infrastructure components and APIs through components like Google Cloud Endpoints.</p>
Azure,Adopt,Platforms,TRUE,"<p>Azure is Microsoft Cloud Platform, it is used to provide Infrastructure services like Azure Virtual Desktop as well as our Data Platform.</p>"
Android Apps - Customer,Adopt,Platforms,TRUE,<p>The Android operating system is used on 64% of all smartphones in Europe. Delivering an application platform that functions on Android is given.
Composite APIS,Adopt,Techniques,TRUE,"<p>Composite APIs are a design approach to batch API requests sequentially into a single API call. Rather than multiple round trips to a server, a client can make one API request with a chain of calls and receive one response.</p>"
Microservices,Adopt,Techniques,TRUE,"<p>Microservice architecture is a design pattern for creating application or service components that do single features. They have their own API, runtime and storage. By Isolating the architecture into these small component we can leverage agile development methods and enable upgrades/enhancements to individual components without affecting the wider application. </p>"
Auth0,Adopt,Platforms,TRUE,"<p>Auth0 is a flexible, drop-in solution to add authentication and authorization services to applications. Auth0 was selected for its ease of implementation and strong security credentials.We have struggled with rate limiting issues and disappointing bot detection, but Auth0 remains the identity platform of choice for consumers. Auth0 was purchased by Okta in 2021.</p>"
commercetools,Adopt,Platforms,TRUE,"<p>CommerceTools is a platform used to manage products, it takes a feed from Hamltion Grant to supply recipe and ingredient information. It is also used to hold basket information for customers that are purchasing through digital platforms. </p>"
Contentful,Adopt,Platforms,TRUE,<p>Contentful is a headless content management platform. It was selected for its lightweight and flexible nature.</p>
Azure Data Lake,Adopt,Platforms,TRUE,<p>Azure Data Lake is a scalable storage platform used to store flat file data sets originating from different sources. We chose data lake due to its scalable and supports any flat file data type. </p>
Databricks,Adopt,Platforms,TRUE,<p>Databricks is tools that enables interaction with data from code. It allows for the creation of data pipelines which we currently using to managed the promotion of through the layers of the Azure Data Platform.</p>
EagleEye,Adopt,Platforms,TRUE,<p>Eagle Eye provides a service that validate customer coffee subscriptions and manages customer wallets. We chose Eagle Eye for its flexibility. It is likely we will also move to use Eagle Eye to provide customer gift card validation in the future also.</p>
Atreemo,Adopt,Platforms,TRUE,"<p>Atreemo is CRM platform provided by The Access Group, its currently acting as our main source of Data for customer profiles. It is also used to send out marketing emails to customers. We should continue to adopt and enhance the data in the platform. </p>"
Deliverect,Adopt,Tools,TRUE,<p>Deliverct is an aggregation platform used for app based order partners like Ubereats and Deliveroo. Pret adopted Delivect due to the wide range of platforms available.</p>
JavaScript,Adopt,Languages & Frameworks,TRUE,"<p>JavaScript is a dynamic computer programming language. It is lightweight and most commonly used as a part of web pages, whose implementations allow client-side script to interact with the user and make dynamic pages. It is an interpreted programming language with object-oriented capabilities.</p>"
TypeScript,Adopt,Languages & Frameworks,TRUE,"<p>TypeScript is a programming language developed and maintained by Microsoft. It is a strict syntactical superset of JavaScript and adds optional static typing to the language. TypeScript is designed for the development of large applications and transcompiles to JavaScript. As TypeScript is a superset of JavaScript, existing JavaScript programs are also valid TypeScript programs.</p>"
Terraform,Adopt,Languages & Frameworks,TRUE,<p><p>Terraform is a cloud agnostic mechanism for defining Infrastructure as Code (IAC). It enables the ability to create repeatable deployments at scale. Pret chose Terraform as it is compatible with all cloud vendors. There are other similar products but most of them tend to be tied to specific cloud platforms.</p>
Google Maps,Adopt,Tools,TRUE,<p>Google Maps is the dominant mapping platform used for displaying location data. Pret chose for its market position.</p>
GCP Logging,Adopt,Tools,TRUE,"<p>GCP Logging is a component of the Google Platform to provide service logging within the Google Cloud, it can also be used to ingest logging from other cloud platforms. As we move to a cloud native ecosystem GCP Logging can help us resolve the question of how we aggregate all out logs in once place.</p>"
Azure Blob Storage,Adopt,Tools,TRUE,<p>Azure Storage Blobs are containers for the storage of flat files. There is no restriction on the types of files being stored making them extremely flexible. They can also mimic traditional on-premise file shares making Blob storage a great technology to assist our transition to a cloud native environment. </p>
Express,Adopt,Languages & Frameworks,TRUE,"<p>Express.js, or simply Express, is a back end web application framework for Node.js, released as free and open-source software under the MIT License. It is designed for building web applications and APIs. It has been called the de facto standard server framework for Node.js.</p>"
